club,name,age,position,club_involved,fee,transfer_movement,fee_cleaned,league,year
SC Braga,Douglas CoutinhoD. Coutinho,22,Centre-Forward,Atlético-PR,"End of loanJan 6, 2017",out,0,primeira-liga,2016
SC Braga,Luis AguiarL. Aguiar,30,Central Midfield,Without Club,-,out,0,primeira-liga,2016
SC Braga,Rui FonteRui Fonte,26,Centre-Forward,Benfica B,"End of loanJun 30, 2016",out,0,primeira-liga,2016
SC Braga,JosuéJosué,25,Attacking Midfield,FC Porto,"End of loanJun 30, 2016",out,0,primeira-liga,2016
SC Braga,Filipe AugustoFilipe Augusto,22,Defensive Midfield,Rio Ave FC,"End of loanJun 30, 2016",out,0,primeira-liga,2016
FC Arouca,TomanéTomané,24,Centre-Forward,Panetolikos,Free Transfer,in,0,primeira-liga,2016
FC Arouca,Ânderson LuísÂnderson Luís,27,Right-Back,Estoril,Free Transfer,in,0,primeira-liga,2016
FC Arouca,Gilson CostaG. Costa,20,Defensive Midfield,Benfica B,Loan,in,0,primeira-liga,2016
FC Arouca,Rafael CrivellaroRafael Crivellaro,27,Attacking Midfield,Wisla Kraków,Free Transfer,in,0,primeira-liga,2016
FC Arouca,André SantosA. Santos,27,Defensive Midfield,FC Metz,Free Transfer,in,0,primeira-liga,2016
FC Arouca,Sancidino SilvaS. Silva,22,Left Winger,Benfica B,Free Transfer,in,0,primeira-liga,2016
FC Arouca,Sinan BolatS. Bolat,28,Goalkeeper,Porto B,Loan,in,0,primeira-liga,2016
FC Arouca,Vítor CostaV. Costa,22,Left-Back,Inter de Lages,Loan,in,0,primeira-liga,2016
FC Arouca,KucaKuca,27,Left Winger,Karabükspor,?,in,NA,primeira-liga,2016
FC Arouca,Jefre VargasJ. Vargas,22,Right-Back,Caracas FC,Loan,in,0,primeira-liga,2016
FC Arouca,SamiSami,28,Left Winger,FC Porto,Loan,in,0,primeira-liga,2016
FC Arouca,Bruno LopesBruno Lopes,21,Centre-Forward,Criciúma EC,?,in,NA,primeira-liga,2016
FC Arouca,Marlon de JesúsM. de Jesús,24,Centre-Forward,Monterrey,Loan,in,0,primeira-liga,2016
FC Arouca,Thiago CarletoT. Carleto,27,Left-Back,São Paulo,?,in,NA,primeira-liga,2016
FC Arouca,KeirrisonKeirrison,28,Centre-Forward,Londrina-PR,?,in,NA,primeira-liga,2016
FC Arouca,Alex AzevedoAlex Azevedo,19,Defensive Midfield,Arouca U19,-,in,0,primeira-liga,2016
FC Arouca,Lucas ColittoL. Colitto,21,Left Winger,Unión Santa Fé,"End of loanJan 26, 2016",in,0,primeira-liga,2016
FC Arouca,Hugo MonteiroH. Monteiro,31,Right Winger,Anadia,"End of loanJun 30, 2016",in,0,primeira-liga,2016
FC Arouca,KarlKarl,23,Central Midfield,Tondela,"End of loanJun 30, 2016",in,0,primeira-liga,2016
FC Arouca,TuckaTucka,20,Centre-Forward,Oliveirense,"End of loanJun 30, 2016",in,0,primeira-liga,2016
FC Arouca,Lucas ColittoL. Colitto,22,Left Winger,Defensores de Belgrano,"End of loanJun 30, 2016",in,0,primeira-liga,2016
FC Arouca,Lucas LimaL. Lima,24,Left-Back,FC Nantes,£990k,out,0.99,primeira-liga,2016
FC Arouca,JorginhoJorginho,21,Left Winger,Saint-Étienne,Loan,out,0,primeira-liga,2016
FC Arouca,David SimãoD. Simão,26,Central Midfield,CSKA Sofia,Free Transfer,out,0,primeira-liga,2016
FC Arouca,Thiago CarletoT. Carleto,27,Left-Back,Linense,Free Transfer,out,0,primeira-liga,2016
FC Arouca,GegéGegé,28,Centre-Back,Paços Ferreira,Free Transfer,out,0,primeira-liga,2016
FC Arouca,TuckaTucka,20,Centre-Forward,Limianos,Loan,out,0,primeira-liga,2016
FC Arouca,Idrissa CoulibalyI. Coulibaly,28,Centre-Back,US Ben Guerdane,Free Transfer,out,0,primeira-liga,2016
FC Arouca,ZequinhaZequinha,30,Left Winger,Nacional,Free Transfer,out,0,primeira-liga,2016
FC Arouca,PintassilgoPintassilgo,31,Right Midfield,Covilhã,Free Transfer,out,0,primeira-liga,2016
FC Arouca,Lucas ColittoL. Colitto,22,Left Winger,Herediano,?,out,NA,primeira-liga,2016
FC Arouca,RobertoRoberto,27,Centre-Forward,Moreirense,Loan,out,0,primeira-liga,2016
FC Arouca,Bruno LopesBruno Lopes,21,Centre-Forward,Brasil-RS,Loan,out,0,primeira-liga,2016
FC Arouca,Marlon de JesúsM. de Jesús,25,Centre-Forward,Monterrey,"End of loanJan 27, 2017",out,0,primeira-liga,2016
FC Arouca,Hugo MonteiroH. Monteiro,31,Right Winger,Retired,-,out,0,primeira-liga,2016
FC Arouca,Emiliano AlbínE. Albín,27,Right-Back,Without Club,-,out,0,primeira-liga,2016
FC Arouca,Tomás DabóT. Dabó,22,Right-Back,Without Club,-,out,0,primeira-liga,2016
FC Arouca,JaílsonJaílson,25,Right-Back,Anápolis-GO,"End of loanJun 30, 2016",out,0,primeira-liga,2016
FC Arouca,Ivo RodriguesI. Rodrigues,21,Left Winger,Porto B,"End of loanJun 30, 2016",out,0,primeira-liga,2016
FC Arouca,MauridesMaurides,22,Centre-Forward,Internacional,"End of loanJun 30, 2016",out,0,primeira-liga,2016
Rio Ave FC,Adama TraoréA. Traoré,21,Central Midfield,Monaco,Loan,in,0,primeira-liga,2016
Rio Ave FC,Rúben RibeiroRúben Ribeiro,28,Second Striker,Boavista,Free Transfer,in,0,primeira-liga,2016
Rio Ave FC,NadjackNadjack,22,Right-Back,Reus Deportiu,Free Transfer,in,0,primeira-liga,2016
Rio Ave FC,Bruno TelesB. Teles,30,Left-Back,América-MG,Free Transfer,in,0,primeira-liga,2016
Rio Ave FC,Gil DiasGil Dias,19,Right Winger,Monaco,Loan,in,0,primeira-liga,2016
Rio Ave FC,Rafa SoaresRafa Soares,21,Left-Back,FC Porto,Loan,in,0,primeira-liga,2016
Rio Ave FC,Goncalo PacienciaG. Paciencia,22,Centre-Forward,FC Porto,Loan,in,0,primeira-liga,2016
Rio Ave FC,Tafsir ChérifT. Chérif,21,Centre-Forward,Monaco B,Loan,in,0,primeira-liga,2016
Rio Ave FC,Radosav PetrovicR. Petrovic,27,Defensive Midfield,Sporting CP,Loan,in,0,primeira-liga,2016
Rio Ave FC,LeandrinhoLeandrinho,22,Central Midfield,Santos FC,?,in,NA,primeira-liga,2016
Rio Ave FC,Filipe AlmeidaFilipe Almeida,18,Centre-Back,Rio Ave FC U19,-,in,0,primeira-liga,2016
Rio Ave FC,Tiago AndréTiago André,19,Left-Back,Rio Ave FC U19,-,in,0,primeira-liga,2016
Rio Ave FC,William JeborW. Jebor,25,Centre-Forward,Wydad AC,"End of loanJul 1, 2017",in,0,primeira-liga,2016
Rio Ave FC,Carlos AlvesCarlos Alves,18,Goalkeeper,Rio Ave FC U19,-,in,0,primeira-liga,2016
Rio Ave FC,Jaime PintoJaime Pinto,18,Right Winger,Rio Ave FC U19,-,in,0,primeira-liga,2016
